pays;source_officielle;annee_reference;sexe;age;esperance_vie_restante;date_publication_source;actif;;;;
LU;STATEC;2012;M;1;78.90;01.01.2024;True;;;;
LU;STATEC;2012;F;6;17.00;01.01.2024;True;;;;
LU;STATEC;2012;M;2;59.30;01.01.2024;True;;;;
LU;STATEC;2012;M;3;39.90;01.01.2024;True;;;;
LU;STATEC;2012;F;3;44.10;01.01.2024;True;;;;
LU;STATEC;2012;F;5;25.40;01.01.2024;True;;;;
LU;STATEC;2012;F;1;83.40;01.01.2024;True;;;;
LU;STATEC;2012;M;4;30.50;01.01.2024;True;;;;
LU;STATEC;2012;M;5;21.90;01.01.2024;True;;;;
LU;STATEC;2012;M;6;14.30;01.01.2024;True;;;;
LU;STATEC;2012;F;2;63.70;01.01.2024;True;;;;
LU;STATEC;2013;F;4;35.00;01.01.2024;True;;;;
LU;STATEC;2013;M;1;79.30;01.01.2024;True;;;;
LU;STATEC;2013;F;6;17.40;01.01.2024;True;;;;
LU;STATEC;2013;M;2;59.70;01.01.2024;True;;;;
LU;STATEC;2013;M;3;40.30;01.01.2024;True;;;;
LU;STATEC;2013;F;3;44.60;01.01.2024;True;;;;
LU;STATEC;2013;F;5;25.80;01.01.2024;True;;;;
LU;STATEC;2013;F;1;84.00;01.01.2024;True;;;;
LU;STATEC;2013;M;4;30.80;01.01.2024;True;;;;
LU;STATEC;2013;M;5;22.30;01.01.2024;True;;;;
LU;STATEC;2013;M;6;14.60;01.01.2024;True;;;;
LU;STATEC;2013;F;2;64.20;01.01.2024;True;;;;
LU;STATEC;2014;F;4;35.10;01.01.2024;True;;;;
LU;STATEC;2014;M;1;79.60;01.01.2024;True;;;;
LU;STATEC;2014;F;6;17.40;01.01.2024;True;;;;
LU;STATEC;2014;M;2;60.00;01.01.2024;True;;;;
LU;STATEC;2014;M;3;40.60;01.01.2024;True;;;;
LU;STATEC;2014;F;3;44.70;01.01.2024;True;;;;
LU;STATEC;2014;F;5;25.90;01.01.2024;True;;;;
LU;STATEC;2014;F;1;84.20;01.01.2024;True;;;;
LU;STATEC;2014;M;5;22.50;01.01.2024;True;;;;
LU;STATEC;2014;M;6;14.70;01.01.2024;True;;;;
LU;STATEC;2014;F;2;64.40;01.01.2024;True;;;;
LU;STATEC;2015;F;4;35.50;01.01.2024;True;;;;
LU;STATEC;2015;M;1;79.70;01.01.2024;True;;;;
LU;STATEC;2015;F;6;17.60;01.01.2024;True;;;;
LU;STATEC;2015;M;2;60.10;01.01.2024;True;;;;
LU;STATEC;2015;M;3;40.70;01.01.2024;True;;;;
LU;STATEC;2015;F;3;45.10;01.01.2024;True;;;;
LU;STATEC;2015;F;5;26.20;01.01.2024;True;;;;
LU;STATEC;2015;F;1;84.60;01.01.2024;True;;;;
LU;STATEC;2015;M;4;31.20;01.01.2024;True;;;;
LU;STATEC;2015;M;5;22.50;01.01.2024;True;;;;
