pays;source_officielle;annee_reference;sexe;age;esperance_vie_restante;date_publication_source;actif;âge actuel
LU;STATEC;1910;F;5;Nov 35;01.01.2024;True;
LU;STATEC;1910;F;6;78.25;01.01.2024;True;
LU;STATEC;1910;M;1;56.15;01.01.2024;True;
LU;STATEC;1910;M;2;42.45;01.01.2024;True;
LU;STATEC;1910;M;3;24.75;01.01.2024;True;
LU;STATEC;1910;M;4;16.65;01.01.2024;True;
LU;STATEC;1911;F;1;60.40;01.01.2024;True;
LU;STATEC;1911;F;2;46.10;01.01.2024;True;
LU;STATEC;1911;F;3;28.00;01.01.2024;True;
LU;STATEC;1911;F;4;19.30;01.01.2024;True;
LU;STATEC;1911;F;5;Nov 50;01.01.2024;True;
LU;STATEC;1911;F;6;78.40;01.01.2024;True;
LU;STATEC;1911;M;1;56.30;01.01.2024;True;
LU;STATEC;1911;M;2;42.60;01.01.2024;True;
LU;STATEC;1911;M;3;24.90;01.01.2024;True;
LU;STATEC;1911;M;4;16.80;01.01.2024;True;
LU;STATEC;1912;F;1;60.55;01.01.2024;True;
LU;STATEC;1912;F;2;46.25;01.01.2024;True;
LU;STATEC;1912;F;3;28.15;01.01.2024;True;
LU;STATEC;1912;F;4;19.45;01.01.2024;True;
LU;STATEC;1912;F;5;Nov 65;01.01.2024;True;
LU;STATEC;1912;F;6;78.55;01.01.2024;True;
LU;STATEC;1912;M;1;56.45;01.01.2024;True;
LU;STATEC;1912;M;2;42.75;01.01.2024;True;
LU;STATEC;1912;M;3;25. Mai;01.01.2024;True;
LU;STATEC;1912;M;4;16.95;01.01.2024;True;
LU;STATEC;1913;F;1;60.70;01.01.2024;True;
LU;STATEC;1913;F;2;46.40;01.01.2024;True;
LU;STATEC;1913;F;3;28.30;01.01.2024;True;
LU;STATEC;1913;F;4;19.60;01.01.2024;True;
LU;STATEC;1913;F;5;Nov 80;01.01.2024;True;
LU;STATEC;1913;F;6;78.70;01.01.2024;True;
LU;STATEC;1913;M;1;56.60;01.01.2024;True;
LU;STATEC;1913;M;2;42.90;01.01.2024;True;
LU;STATEC;1913;M;3;25.20;01.01.2024;True;
LU;STATEC;1913;M;4;17. Okt;01.01.2024;True;
LU;STATEC;1914;F;1;60.85;01.01.2024;True;
LU;STATEC;1914;F;2;46.55;01.01.2024;True;
LU;STATEC;1914;F;3;28.45;01.01.2024;True;
LU;STATEC;1914;F;4;19.75;01.01.2024;True;
LU;STATEC;1914;F;5;Nov 95;01.01.2024;True;
LU;STATEC;1914;F;6;78.85;01.01.2024;True;
LU;STATEC;1914;M;1;56.75;01.01.2024;True;
LU;STATEC;1914;M;2;43.05;01.01.2024;True;
LU;STATEC;1914;M;3;25.35;01.01.2024;True;
LU;STATEC;1914;M;4;17.25;01.01.2024;True;
LU;STATEC;1915;F;1;61.00;01.01.2024;True;
LU;STATEC;1915;F;2;46.70;01.01.2024;True;
LU;STATEC;1915;F;3;28.60;01.01.2024;True;
LU;STATEC;1915;F;4;19.90;01.01.2024;True;
LU;STATEC;1915;F;5;12. Okt;01.01.2024;True;
LU;STATEC;1915;F;6;79.00;01.01.2024;True;
LU;STATEC;1915;M;1;56.90;01.01.2024;True;
LU;STATEC;1915;M;2;43.20;01.01.2024;True;
LU;STATEC;1915;M;3;25.50;01.01.2024;True;
LU;STATEC;1915;M;4;17.40;01.01.2024;True;
LU;STATEC;1916;F;1;61.15;01.01.2024;True;
LU;STATEC;1916;F;2;46.85;01.01.2024;True;
LU;STATEC;1916;F;3;28.75;01.01.2024;True;
LU;STATEC;1916;F;4;20. Mai;01.01.2024;True;
LU;STATEC;1916;F;5;Dez 25;01.01.2024;True;
LU;STATEC;1916;F;6;79.15;01.01.2024;True;
LU;STATEC;1916;M;1;57.05;01.01.2024;True;
LU;STATEC;1916;M;2;43.35;01.01.2024;True;
LU;STATEC;1916;M;3;25.65;01.01.2024;True;
LU;STATEC;1916;M;4;17.55;01.01.2024;True;
LU;STATEC;1917;F;1;61.30;01.01.2024;True;
LU;STATEC;1917;F;2;47.00;01.01.2024;True;
LU;STATEC;1917;F;3;28.90;01.01.2024;True;
LU;STATEC;1917;F;4;20.20;01.01.2024;True;
LU;STATEC;1917;F;5;Dez 40;01.01.2024;True;
LU;STATEC;1917;F;6;79.30;01.01.2024;True;
LU;STATEC;1917;M;1;57.20;01.01.2024;True;
LU;STATEC;1917;M;2;43.50;01.01.2024;True;
LU;STATEC;1917;M;3;25.80;01.01.2024;True;
LU;STATEC;1917;M;4;17.70;01.01.2024;True;
LU;STATEC;1918;F;1;61.45;01.01.2024;True;
LU;STATEC;1918;F;2;47.15;01.01.2024;True;
LU;STATEC;1918;F;3;29. Mai;01.01.2024;True;
LU;STATEC;1918;F;4;20.35;01.01.2024;True;
LU;STATEC;1918;F;5;Dez 55;01.01.2024;True;
LU;STATEC;1918;F;6;79.45;01.01.2024;True;
LU;STATEC;1918;M;1;57.35;01.01.2024;True;
LU;STATEC;1918;M;2;43.65;01.01.2024;True;
LU;STATEC;1918;M;3;25.95;01.01.2024;True;
LU;STATEC;1918;M;4;17.85;01.01.2024;True;
LU;STATEC;1919;F;1;61.60;01.01.2024;True;
LU;STATEC;1919;F;2;47.30;01.01.2024;True;
LU;STATEC;1919;F;3;29.20;01.01.2024;True;
LU;STATEC;1919;F;4;20.50;01.01.2024;True;
LU;STATEC;1919;F;5;Dez 70;01.01.2024;True;
LU;STATEC;1919;F;6;79.60;01.01.2024;True;
LU;STATEC;1919;M;1;57.50;01.01.2024;True;
LU;STATEC;1919;M;2;43.80;01.01.2024;True;
LU;STATEC;1919;M;3;26. Okt;01.01.2024;True;
LU;STATEC;1919;M;4;18.00;01.01.2024;True;
LU;STATEC;1920;F;1;61.75;01.01.2024;True;
LU;STATEC;1920;F;2;47.45;01.01.2024;True;
LU;STATEC;1920;F;3;29.35;01.01.2024;True;
LU;STATEC;1920;F;4;20.65;01.01.2024;True;
LU;STATEC;1920;F;5;Dez 85;01.01.2024;True;
LU;STATEC;1920;F;6;79.75;01.01.2024;True;
LU;STATEC;1920;M;1;57.65;01.01.2024;True;
LU;STATEC;1920;M;2;43.95;01.01.2024;True;
LU;STATEC;1920;M;3;26.25;01.01.2024;True;
LU;STATEC;1920;M;4;18.15;01.01.2024;True;
LU;STATEC;1921;F;1;61.90;01.01.2024;True;
LU;STATEC;1921;F;2;47.60;01.01.2024;True;
LU;STATEC;1921;F;3;29.50;01.01.2024;True;
LU;STATEC;1921;F;4;20.80;01.01.2024;True;
LU;STATEC;1921;F;5;13.00;01.01.2024;True;
LU;STATEC;1921;F;6;79.90;01.01.2024;True;
