PAYS;ANNEE REFERENCE;SOURCE OFFICIELLE;SEXE;AGE;ESPERANCE VIE RESTANTE;DATE PUBLICATION SOURCE;ACTIF;;;;;;;
Allemagne;2023;DESTATIS;Homme;73;12,05;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;74;11,41;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;75;10,79;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;76;10,19;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;77;9,59;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;78;9,01;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;79;8,43;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;80;7,88;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;81;7,33;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;82;6,81;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;83;6,30;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;84;5,82;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;85;5,36;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;86;4,93;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;87;4,52;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;88;4,15;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;89;3,81;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;90;3,50;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;91;3,22;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;92;2,97;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;93;2,74;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;94;2,54;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;95;2,35;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;96;2,19;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;97;2,05;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;98;1,92;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;99;1,81;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Homme;100;1,71;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;1;82,23;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;2;81,25;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;3;80,26;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;4;79,27;21.08.2024;oui;;;;;;;
Allemagne;2023;DESTATIS;Femme;5;78,28;21.08.2024;oui;;;;;;;
