STRUCTURE;STRUCTURE_ID;STRUCTURE_NAME;ACTION;SPECIFICATION;Spécification;SEX;Sexe;AGE;Age;FREQ;Fréquence;TIME_PERIOD;Période;OBS_VALUE;Valeur;OBS_STATUS;Statut d'observation;DECIMALS;Décimales;NOTE_YEAR_2;Note année 2;NOTE_YEAR_1;Note année 1;NOTE_SPECIFICATION_2;Note spécification 2;NOTE_SPECIFICATION_1;Note spécification 1;NOTE_SEX_2;Note sexe 2;NOTE_SEX_1;Note sexe 1;NOTE_AGE_2;Age;NOTE_AGE_1;Age
DATAFLOW;LU1:DF_B2307(1.0);Table de mortalité détaillée;I;C04;Espérance de vie (Ex);B02;Femmes;SL011;10;A;Annuelle;2023;;75.4364084267468;;;;0;Zéro;;;Y01;L’année affichée correspond au milieu de la période d’observation de trois années (par exemple 2020 correspond aux années 2019-2021).;C04;Définitions: Espérance de vie. Données révisées pour les années 2005 - 2015;;;;;;;;;;
DATAFLOW;LU1:DF_B2307(1.0);Table de mortalité détaillée;I;C04;Espérance de vie (Ex);B02;Femmes;SL015;14;A;Annuelle;2023;;71.4787283862854;;;;0;Zéro;;;Y01;L’année affichée correspond au milieu de la période d’observation de trois années (par exemple 2020 correspond aux années 2019-2021).;C04;Définitions: Espérance de vie. Données révisées pour les années 2005 - 2015;;;;;;;;;;
DATAFLOW;LU1:DF_B2307(1.0);Table de mortalité détaillée;I;C04;Espérance de vie (Ex);B02;Femmes;SL032;31;A;Annuelle;2023;;54.5935297834536;;;;0;Zéro;;;Y01;L’année affichée correspond au milieu de la période d’observation de trois années (par exemple 2020 correspond aux années 2019-2021).;C04;Définitions: Espérance de vie. Données révisées pour les années 2005 - 2015;;;;;;;;;;
DATAFLOW;LU1:DF_B2307(1.0);Table de mortalité détaillée;I;C04;Espérance de vie (Ex);B02;Femmes;SL036;35;A;Annuelle;2023;;50.6497062618257;;;;0;Zéro;;;Y01;L’année affichée correspond au milieu de la période d’observation de trois années (par exemple 2020 correspond aux années 2019-2021).;C04;Définitions: Espérance de vie. Données révisées pour les années 2005 - 2015;;;;;;;;;;
DATAFLOW;LU1:DF_B2307(1.0);Table de mortalité détaillée;I;C04;Espérance de vie (Ex);B02;Femmes;SL053;52;A;Annuelle;2023;;34.1385354099009;;;;0;Zéro;;;Y01;L’année affichée correspond au milieu de la période d’observation de trois années (par exemple 2020 correspond aux années 2019-2021).;C04;Définitions: Espérance de vie. Données révisées pour les années 2005 - 2015;;;;;;;;;;
DATAFLOW;LU1:DF_B2307(1.0);Table de mortalité détaillée;I;C04;Espérance de vie (Ex);B02;Femmes;SL057;56;A;Annuelle;2023;;30.3756312167059;;;;0;Zéro;;;Y01;L’année affichée correspond au milieu de la période d’observation de trois années (par exemple 2020 correspond aux années 2019-2021).;C04;Définitions: Espérance de vie. Données révisées pour les années 2005 - 2015;;;;;;;;;;
DATAFLOW;LU1:DF_B2307(1.0);Table de mortalité détaillée;I;C04;Espérance de vie (Ex);B02;Femmes;SL074;73;A;Annuelle;2023;;15.6377719903522;;;;0;Zéro;;;Y01;L’année affichée correspond au milieu de la période d’observation de trois années (par exemple 2020 correspond aux années 2019-2021).;C04;Définitions: Espérance de vie. Données révisées pour les années 2005 - 2015;;;;;;;;;;
DATAFLOW;LU1:DF_B2307(1.0);Table de mortalité détaillée;I;C04;Espérance de vie (Ex);B02;Femmes;SL091;90;A;Annuelle;2023;;4.80945420341964;;;;0;Zéro;;;Y01;L’année affichée correspond au milieu de la période d’observation de trois années (par exemple 2020 correspond aux années 2019-2021).;C04;Définitions: Espérance de vie. Données révisées pour les années 2005 - 2015;;;;;;;;;;
DATAFLOW;LU1:DF_B2307(1.0);Table de mortalité détaillée;I;C04;Espérance de vie (Ex);B01;Hommes;SL029;28;A;Annuelle;2023;;53.8038233713167;;;;0;Zéro;;;Y01;L’année affichée correspond au milieu de la période d’observation de trois années (par exemple 2020 correspond aux années 2019-2021).;C04;Définitions: Espérance de vie. Données révisées pour les années 2005 - 2015;;;;;;;;;;
DATAFLOW;LU1:DF_B2307(1.0);Table de mortalité détaillée;I;C04;Espérance de vie (Ex);B01;Hommes;SL045;44;A;Annuelle;2023;;38.2379898788615;;;;0;Zéro;;;Y01;L’année affichée correspond au milieu de la période d’observation de trois années (par exemple 2020 correspond aux années 2019-2021).;C04;Définitions: Espérance de vie. Données révisées pour les années 2005 - 2015;;;;;;;;;;
DATAFLOW;LU1:DF_B2307(1.0);Table de mortalité détaillée;I;C04;Espérance de vie (Ex);B01;Hommes;SL050;49;A;Annuelle;2023;;33.4726939366087;;;;0;Zéro;;;Y01;L’année affichée correspond au milieu de la période d’observation de trois années (par exemple 2020 correspond aux années 2019-2021).;C04;Définitions: Espérance de vie. Données révisées pour les années 2005 - 2015;;;;;;;;;;
DATAFLOW;LU1:DF_B2307(1.0);Table de mortalité détaillée;I;C04;Espérance de vie (Ex);B01;Hommes;SL066;65;A;Annuelle;2023;;19.4145385782753;;;;0;Zéro;;;Y01;L’année affichée correspond au milieu de la période d’observation de trois années (par exemple 2020 correspond aux années 2019-2021).;C04;Définitions: Espérance de vie. Données révisées pour les années 2005 - 2015;;;;;;;;;;
